id;mixed;negative;neutral;positive;sentiment;source
0;0.039773743599653244;0.24521325528621674;0.6892552971839905;0.02575763314962387;NEUTRAL;que el supremo no deje comparecer ante el parlamento a los presos politicos es otra ofensa a la ciudadania de cataluna aqui lo explica la jessicaalbiach 
1;0.011196693405508995;0.013702575117349625;0.8561599254608154;0.11894074827432632;NEUTRAL;un articulo a leer de ainagallego sobre un tema importante el cambio tecnologico en el trabajo amenaza u oportunidad 
2;0.06080412119626999;0.17260156571865082;0.720625638961792;0.045968685299158096;NEUTRAL;el sentimiento de desproteccion ante las incertidumbres que genera el cambio de epoca y las politicas neoliberales provoca la aparicion de estas alternativas xenofobas y ultraconservadoras que prometen proteccion para unos y odio a los demas faqspeldarreretv jordivaquer gpisarello
3;0.10197246074676514;0.5129547715187073;0.3441751003265381;0.04089771956205368;NEGATIVE;y ninguno de ellos tiene traza con los microfonos y las grabadoras ni nada que ver con las cloacas mira por donde pero a mi ya muchos mas me representan tambien los exiliados y los presos politicos 
4;0.04780491068959236;0.02604563720524311;0.8663691282272339;0.05978035554289818;NEUTRAL;el sergimiquel ha despedido hoy como secretario general de la jncatalunya con un gran discurso largamente ovacionado por sus companeros y companeras ahora necesitamos todo su talento como diputado al congreso por juntsxcat a girona
5;0.00607398571446538;0.0023572903592139482;0.5856567621231079;0.40591198205947876;NEUTRAL;en un mundo conectado las ciudades son centros de comercio crecimiento innovacion tecnologia y finanzas
6;0.03910075128078461;0.012243503704667091;0.11350226402282715;0.8351534605026245;POSITIVE;muchas gracias antonibassas para tenernos siempre presentes y no callar para denunciar esta injusticia un abrazo 
7;0.008720985613763332;0.002908668713644147;0.8913565278053284;0.09701377898454666;NEUTRAL;escuchando el amigo y maestro anton costas la presentacion de quot el final del desconcierto quot en cdeconomia brillante como siempre contractesocial
8;0.0021976411808282137;0.0013692033244296908;0.9643269777297974;0.0321061946451664;NEUTRAL;recomano nuevo video testimonial del legado pasqual maragall llegatpm catalunyaeuropa en esta ocasion con el periodista filosofo y escritor josep ramoneda 
9;0.01689205877482891;0.009028295055031776;0.6835581064224243;0.290521502494812;NEUTRAL;entrega anual de premios rosa de plata de barnacentre con el candidato josebouvila y nuestra consellera de ciutatvella ejimenezcara desde el ppcatalunya siempre apoyando al comercio de barrio ellos cada dia levantando la persiana hacen grande bcn stopcolau boubcn 
10;0.02739151194691658;0.0024057691916823387;0.3879067301750183;0.5822958946228027;POSITIVE;que discurso mas bueno pablo pbustinduy eres el mejor de toda la izquierda espanola que lujo seria discutir contigo suerte en europa 
11;0.01663387380540371;0.059052761644124985;0.889693558216095;0.03461984544992447;NEUTRAL;yo tambien he firmado el manifiesto de la plataforma somos el haz oir tu voz y adhiere a ello somel 
12;0.008965940214693546;0.004100756719708443;0.8125556707382202;0.17437763512134552;NEUTRAL;siempre en nuestro corazon y en nuestra memoria sea cual sea su voto quiero decirle que los homosexuales no somos orientaciones sexuales que vagamos por el espacio somos sus hijos sus hermanos sus companeros de grupo sus colegas de partido zerolo 
